Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Male
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Testis","Age 45","Age <br/>95+",0.097
"Testis","Age 50","Age <br/>5",
"Testis","Age 50","Age <br/>10",
"Testis","Age 50","Age <br/>15",
"Testis","Age 50","Age <br/>20",
"Testis","Age 50","Age <br/>25",
"Testis","Age 50","Age <br/>30",
"Testis","Age 50","Age <br/>35",
"Testis","Age 50","Age <br/>40",
"Testis","Age 50","Age <br/>45",
"Testis","Age 50","Age <br/>50",
"Testis","Age 50","Age <br/>55",0.022
"Testis","Age 50","Age <br/>60",0.038
"Testis","Age 50","Age <br/>65",0.048
"Testis","Age 50","Age <br/>70",0.055
"Testis","Age 50","Age <br/>75",0.060
"Testis","Age 50","Age <br/>80",0.062
"Testis","Age 50","Age <br/>85",0.065
"Testis","Age 50","Age <br/>90",0.066
"Testis","Age 50","Age <br/>95",0.067
"Testis","Age 50","Age <br/>95+",0.067
"Testis","Age 55","Age <br/>5",
"Testis","Age 55","Age <br/>10",
"Testis","Age 55","Age <br/>15",
"Testis","Age 55","Age <br/>20",
"Testis","Age 55","Age <br/>25",
"Testis","Age 55","Age <br/>30",
"Testis","Age 55","Age <br/>35",
"Testis","Age 55","Age <br/>40",
"Testis","Age 55","Age <br/>45",
